Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000467,5,1,11,2000,3,1,1,1,6,498.0,,M,0.0,0.0,330,3.0,3.0,0.0,,2,2,109.0,500.0,0,1,2,0,75,1,0,3,0
200500000468,5,1,6,945,1,1,1,2,1,56.0,,M,0.0,0.0,330,4.0,0.0,0.0,,2,2,0.0,0.0,0,1,1,0,77,2,0,1,0
200500000469,5,1,15,930,1,2,1,1,6,312.0,RUE DURAND DASSIER,M,0.0,0.0,330,4.0,0.0,0.0,,2,2,0.0,0.0,0,1,1,19,61,1,0,1,0
200500000470,5,1,13,1345,1,2,1,1,3,162.0,21 av de l hippodrome,M,0.0,0.0,330,4.0,0.0,0.0,,2,0,0.0,0.0,2,1,1,0,100,1,0,1,0
200500000471,5,1,7,1845,5,2,9,1,2,162.0,avenue de Saint Mï¿½dard,M,0.0,0.0,330,4.0,0.0,0.0,,2,0,0.0,0.0,2,0,1,0,120,1,0,1,0
200500000472,5,1,28,900,1,1,1,2,7,422.0,,M,0.0,0.0,330,3.0,211.0,2.0,E,2,0,1.0,890.0,0,1,1,0,50,7,0,3,0
200500000473,5,1,10,1015,1,2,1,1,3,376.0,ROUTE DE MOUNIC,M,0.0,0.0,330,3.0,211.0,0.0,,2,0,0.0,0.0,0,1,1,0,56,1,0,1,0
200500000474,5,1,1,930,2,1,1,8,6,267.0,,M,45.285,-0.441,330,3.0,23.0,0.0,,2,0,21.0,300.0,0,1,3,0,59,2,0,3,0
200500000475,5,1,12,745,2,1,1,1,3,6.0,,M,45.204,-0.629,330,3.0,135.0,0.0,,2,0,0.0,300.0,0,1,1,0,70,1,0,1,0
200500000476,5,1,16,2230,5,2,1,5,7,114.0,BEAUDET,M,45.101,-0.388,330,3.0,18.0,0.0,,2,2,0.0,0.0,0,1,2,0,67,1,0,3,0
200500000477,5,1,7,1400,1,2,1,1,1,81.0,allï¿½es de Lattre de Tass,M,0.0,0.0,330,3.0,10.0,0.0,,2,2,106.0,208.0,0,1,3,0,79,1,5,1,0
200500000478,5,1,8,1100,1,2,1,1,3,253.0,CD 10,M,0.0,0.0,330,3.0,10.0,0.0,,2,0,0.0,0.0,0,1,1,0,64,1,0,1,0
200500000479,5,1,15,1530,1,1,1,1,1,23.0,,M,44.7,-0.49,330,2.0,113.0,0.0,,2,0,53.0,800.0,0,0,1,0,70,1,0,1,0
200500000480,5,1,18,1745,2,2,1,8,6,109.0,RUE DU PRESIDENT CARNOT,M,44.7,-0.44,330,2.0,113.0,0.0,,2,2,0.0,0.0,0,2,4,0,65,2,0,1,0
200500000481,5,1,15,1900,5,2,1,1,5,238.0,Avenue de Gradignan,M,0.0,0.0,330,3.0,109.0,0.0,,2,2,5.0,500.0,0,1,1,0,55,1,5,1,0
200500000482,5,1,21,2045,5,2,1,8,1,80.0,RN113,M,0.0,0.0,330,2.0,113.0,0.0,,2,2,0.0,0.0,0,1,1,0,0,2,0,1,0
200500000483,5,1,14,1800,3,1,1,5,6,76.0,,M,44.54,-0.426,330,3.0,11.0,0.0,,2,0,41.0,500.0,0,0,1,0,0,2,0,1,0
200500000484,5,1,11,915,1,1,1,1,3,415.0,,M,0.0,0.0,330,2.0,113.0,0.0,,2,2,2.0,600.0,0,1,1,0,72,1,0,1,0
200500000485,5,1,31,1130,1,2,1,1,3,227.0,Rue Jules Ferry,M,44.554,-0.251,330,3.0,125.0,3.0,E,2,0,0.0,0.0,0,1,1,0,83,1,5,1,3
200500000486,5,1,5,2000,3,1,1,1,6,195.0,,M,44.385,-0.033,330,3.0,655.0,0.0,,2,2,17.0,0.0,0,1,1,0,70,1,0,3,0
200500000487,5,1,16,1815,4,2,1,1,1,287.0,8 cent jour est,M,44.575,0.022,330,2.0,113.0,0.0,,2,2,0.0,0.0,0,0,0,0,50,1,0,1,0
200500000488,5,1,13,1900,3,1,1,5,3,523.0,,M,0.0,0.0,330,3.0,671.0,0.0,,2,2,7.0,850.0,0,2,1,0,65,2,0,1,0
200500000489,5,1,25,1645,1,1,1,1,6,523.0,,M,0.0,0.0,330,3.0,11.0,0.0,,2,0,0.0,0.0,0,1,3,0,0,1,0,0,0
200500000490,5,1,28,1830,1,1,1,1,3,379.0,,M,0.0,0.0,330,3.0,9.0,0.0,,0,0,0.0,310.0,0,1,1,0,50,1,0,1,0
200500000491,5,1,28,1315,1,1,2,8,3,297.0,,M,0.0,0.0,330,2.0,215.0,0.0,,2,2,0.0,0.0,0,2,1,0,70,2,5,1,0
200500000492,5,1,23,1200,1,1,1,2,1,125.0,,M,0.0,0.0,330,3.0,104.0,0.0,,2,0,1.0,800.0,0,1,0,0,60,2,0,1,0
200500000493,5,1,26,745,2,1,1,1,3,539.0,,M,0.0,0.0,330,3.0,242.0,2.0,E,2,2,1.0,100.0,0,1,1,0,70,1,0,1,0
200500000494,5,1,27,745,3,1,1,1,1,243.0,,M,0.0,0.0,330,3.0,670.0,0.0,,2,0,0.0,0.0,0,0,1,0,0,1,0,1,0
200500000495,5,1,2,2100,3,1,1,1,7,296.0,,M,44.83,-0.04,330,3.0,17.0,0.0,,2,0,36.0,200.0,0,1,1,60,0,1,0,3,0
200500000496,5,1,9,1745,1,1,4,1,1,194.0,,M,44.81,-0.22,330,3.0,11.0,0.0,,2,2,1.0,600.0,0,3,3,0,82,1,0,1,0
200500000497,5,1,29,730,3,1,3,1,3,421.0,,M,44.81,-0.13,330,3.0,18.0,0.0,,2,0,71.0,355.0,0,1,1,0,50,1,5,1,0
200500000498,5,1,23,615,3,1,1,1,6,459.0,,M,44.859,-0.082,330,3.0,936.0,0.0,,2,2,40.0,0.0,0,1,1,0,60,1,0,3,0
200500000499,5,1,15,215,3,1,1,5,7,1.0,,M,45.0,-0.12,330,3.0,17.0,0.0,,2,2,10.0,200.0,0,1,4,0,65,0,0,3,0
200500000500,5,1,10,1830,2,1,1,1,2,218.0,,M,45.078,-0.167,330,3.0,910.0,0.0,,2,2,0.0,0.0,0,4,0,0,0,1,0,3,0
200500000501,5,1,3,1700,1,1,1,1,6,369.0,,M,0.0,0.0,330,3.0,708.0,0.0,,2,2,4.0,800.0,0,1,2,0,70,2,0,3,0
200500000502,5,1,28,815,1,1,1,2,3,542.0,,M,44.997,-0.364,330,3.0,246.0,0.0,,2,2,0.0,0.0,0,2,0,0,90,7,0,1,0
200500001770,5,1,1,400,3,1,1,9,7,333.0,,M,44.899,-1.119,330,4.0,206.0,0.0,,2,1,0.0,0.0,0,1,1,0,43,2,0,3,0
200500001771,5,1,16,200,3,1,1,1,6,203.0,,M,45.203,-1.047,330,3.0,2.0,3.0,,2,2,25.0,300.0,0,1,1,0,56,1,0,1,0
200500001775,5,1,24,1830,2,2,1,1,5,199.0,81 DE LATTRE DE TASSIGNY,M,0.0,0.0,330,3.0,650.0,0.0,,2,0,0.0,0.0,0,1,1,0,67,1,0,1,0
200500001777,5,1,4,830,1,1,3,1,1,234.0,,M,44.803,-0.516,330,3.0,113.0,1.0,E,1,0,0.0,0.0,1,1,1,0,30,1,0,1,0
200500001778,5,1,13,1130,1,1,9,1,1,85.0,,M,44.774,-0.445,330,3.0,14.0,0.0,,2,2,0.0,0.0,0,2,1,0,63,1,0,1,0
200500001801,5,1,1,1745,2,2,2,2,3,5.0,rue Charles GOUNOT,M,44.752,-1.094,330,4.0,0.0,0.0,,2,0,0.0,0.0,0,1,1,0,50,2,0,1,0
200500001802,5,1,5,2015,5,2,1,1,7,229.0,,M,0.0,0.0,330,3.0,5.0,3.0,,2,0,88.0,300.0,0,0,1,0,70,1,0,1,0
200500001803,5,1,29,1945,3,2,1,8,6,5.0,AVENUE DE BORDEAUX,M,44.762,-1.072,330,3.0,215.0,0.0,,2,2,0.0,0.0,0,0,1,0,60,1,0,1,3
200500001882,5,1,1,315,3,1,1,1,6,284.0,,M,0.0,0.0,330,1.0,660.0,0.0,A,1,2,2.0,180.0,0,1,3,200,72,1,0,3,0
200500001902,5,1,10,1900,3,1,1,1,7,122.0,,M,44.727,-0.747,330,3.0,211.0,0.0,,2,2,41.0,100.0,0,1,1,0,0,1,0,3,0
200500001903,5,1,22,1800,1,1,1,1,1,122.0,,M,0.0,0.0,330,3.0,214.0,0.0,,2,2,1.0,400.0,1,1,1,0,70,1,0,1,0
200500003134,5,1,11,1645,1,2,1,1,2,529.0,RN 250 (BONNEVAL - LA HU,,,,330,2.0,0.0,0.0,,2,2,43.0,0.0,0,1,1,28,36,1,0,1,0
