Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000000079,6,3,2020,17:20,1,033,33284,1,1,2,7,A660,44.63127,-0.92103,1,660,0,,3,4,0,1,7,300,3,, -1,2,0,1,130
202000000170,21,9,2020,18:35,1,033,33281,1,1,2,6,ROCADE A 630,44.81706,-0.67293,1,630,0,,1,1,0,2,19,30,3,, -1,2,3,1,50
202000000171,21,9,2020,09:15,1,033,33143,1,1,1,5,AUTOROUTE A 10,44.96965,-0.436024,1,10,0,,3,6,0,2,531,599,1,, -1,1,0,1,130
202000000193,20,9,2020,03:00,5,033,33063,2,2,1,3,CRS DU MEDOC / CRS BALGUERIE STUTTENBERG,44.8583148,-0.5668694,4,CRS DU MEDOC,0,,2,4,2,1,(1),(1),1,, -1,1,5,1,50
202000000243,21,9,2020,13:45,1,033,33236,2,1,2,3,98 Avenue du Truc Vert,44.72485,-1.21931,4,Avenue du Truc Vert,0,,2,2,2,1,(1),(1),2,, -1,2,0,5,50
202000000302,24,6,2020,12:45,1,033,33013,1,1,1,4,ROUTE NATIONALE 89,44.86642,-0.48688,2,N89,0,,3,4,0,1,48,680,1,, -1,1,0,1,90
202000000303,24,6,2020,07:30,1,033,33318,2,3,1,3,Avenue du Bourgailh,44.80246,-0.66319,4,Avenue du Bourgailh,0,,2,7,2,1,(1),(1),1,, -1,1,5,1,50
202000000304,15,6,2020,16:41,1,033,33522,2,9,1,6,PARKING INTERMARCHE,44.80685,-0.57423,6,VOIE PARKING,0,,-1,0,0,1,(1),(1),1,, -1,1,0,8,20
202000000394,22,6,2020,16:05,1,033,33162,1,1,1,6,ROCADE A 630,44.87446,-0.63651,1,ROCADE A 630,0,,3,4,0,1,11,409,1,, -1,1,2,1,90
202000000498,19,10,2020,21:10,5,033,33063,2,9,1,6,ALL DE LOS ANGELES,44.8449,-0.57496,4,ALL DE LOS ANGELES,0,,2,2,0,1,(1),(1),3,, -1,1,0,6,50
202000000499,19,10,2020,17:40,1,033,33529,1,1,1,7,PALUE (CH. DE LA),44.63216,-1.15919,4,PALUE (CH. DE LA),0,,2,2,0,1,(1),(1),2,, -1,1,0,1,50
202000000583,19,10,2020,15:10,1,033,33487,1,1,1,5,AUTOROUTE A 10,44.953025,-0.4586,1,10,0,,3,6,0,2,534,200,1,, -1,1,2,1,130
202000000606,18,10,2020,22:15,5,033,33119,2,1,1,1,AVE CARNOT,44.85806,-0.53089,4,AVE CARNOT,0,,3,5,2,2,(1),(1),1,, -1,1,0,1,70
202000000683,24,8,2020,19:15,1,033,33522,2,2,1,3,RUE ALDONA,44.79893,-0.58745,4,RUE DU GENERAL SARRAIL,0,,2,2,0,1,(1),(1),2,, -1,1,0,1,50
202000000747,24,8,2020,17:50,1,033,33506,1,1,1,3,1 Lieu Dit Penic,44.68569,-0.04498,3,230,0,,2,2,0,1,23,715,1,, -1,1,0,1,80
202000000981,30,11,2020,07:05,3,033,33075,1,1,1,4,ROCADE A 630,44.89014,-0.61259,1,630,0,,3,4,0,1,9,100,1,, -1,1,0,1,90
202000001022,30,11,2020,17:15,1,033,33290,2,2,1,1,Route de Libourne,44.930301,-0.133504,3,244,-1,,2,2,0,2,9,360,1,, -1,1,0,1,-1
202000001047,30,11,2020,17:30,2,033,33085,1,3,1,1,Route de Creon,44.76932,-0.44662,3,14,0,,2,2,0,1,5,380,1,, -1,1,0,1,80
202000001056,27,11,2020,08:40,1,033,33165,2,3,1,1,97 Avenue de l'Entre 2 Mers,44.825456,-0.437662,3,936,-1,,2,2,0,1,10,730,1,, -1,1,0,1,50
202000001062,30,11,2020,07:40,3,033,33448,1,1,1,2,AUTOROUTE A 62,44.70039,-0.50172,1,62,0,,3,4,0,1,9,145,1,, -1,1,0,1,130
202000001084,6,3,2020,09:50,1,033,33063,2,1,3,2,Rue de la Motte Picquet,44.87329,-0.56068,4,RUE LA MOTTE PICQUET,0,,2,1,0,1,(1),(1),1,, -1,2,0,1,50
202000001195,6,3,2020,18:25,3,033,33042,1,1,3,6,A 63 PK 043.355,44.47176,-0.82391,1,63,0,,3,6,0,1,43,355,1,,14,2,0,3,90
202000001222,6,3,2020,16:10,1,033,33096,1,1,3,2,AUTOROUTE A 10,44.89496,-0.49786,1,AUTOROUTE A 10,0,,3,6,0,1,541,599,1,, -1,2,0,1,130
202000001223,6,3,2020,10:20,1,033,33096,1,1,4,2,AUTOROUTE A10,44.89895,-0.49502,1,10,0,,3,6,0,1,541,99,1,, -1,2,0,1,90
202000001263,21,5,2020,20:25,2,033,33011,2,1,1,6,RD3E19 _ 31 Boulevard de l'AÃ©rium,44.761826,-1.13259,3,3E19,0,E,2,2,0,1,0,556,1,, -1,1,0,3,50
202000001376,20,5,2020,18:45,1,033,33192,2,1,1,6,RUE DU BRANDIER,44.7827,-0.5984,4,RUE DU BRANDIER,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202000001377,20,5,2020,17:00,1,033,33013,2,1,1,3,121 AVE DE L'EGLISE ROMANE,44.85666,-0.49109,4,AVE DE L'EGLISE ROMANE,0,,2,4,2,1,(1),(1),2,, -1,1,0,1,50
202000001378,20,5,2020,10:20,1,033,33318,2,2,1,1,AVE DU DOCTEUR NANCEL PENARD / AVE ROGER COHE / AVE ROGER COHE,44.8091,-0.63284,4,AVE DU DOCTEUR NANCEL PENARD,0,,2,5,2,1,(1),(1),1,, -1,1,5,1,50
202000001379,20,5,2020,07:40,1,033,33162,1,1,1,3,AVE DU MEDOC,44.89295,-0.6669,4,AVE DU MEDOC,0,,2,3,0,1,(1),(1),1,, -1,1,0,1,50
202000001380,7,5,2020,17:45,1,033,33063,2,3,1,1,RUE DES GENERAUX D/UCHE / RUE PIERRE TREBOD,44.85661,-0.58278,4,RUE DES GENERAUX DUCHE,0,,2,2,0,1,(1),(1),1,, -1,1,0,8,50
202000001444,18,9,2020,18:38,1,033,33522,2,8,1,-1,CRS GAMBETTA / RUE ROGER SALENGRO,44.81562,-0.58664,4,CRS GAMBETTA,0,,2,4,3,1,(1),(1),1,, -1,1,4,6,50
202000001541,20,9,2020,10:57,1,033,33284,1,1,1,3,A660,44.63105,-0.91605,1,660,0,,3,4,0,1,6,900,1,, -1,1,0,1,130
202000001615,23,6,2020,13:30,1,033,33069,2,3,1,1,RUE COUDOL / AVE DE TIVOLI,44.8665946,-0.5958238,4,AVE DE TIVOLI,0,,2,4,2,1,(1),(1),1,, -1,1,5,1,50
202000001616,20,6,2020,23:00,3,033,33529,1,1,1,6,BISCAROSSE (AVE) DUNE VERS BISCA,44.495194,-1.235851,3,218,0,,2,2,0,1,21,800,1,,"5,5",1,0,1,80
202000001734,23,6,2020,05:00,3,033,33366,1,1,1,6,AUTOROUTE A 10,44.98304,-0.42872,1,10,0,,3,3,0,1,530,0,1,,14,1,0,1,130
202000001785,22,6,2020,17:30,1,033,33069,1,3,1,2,AVE DE TIVOLI / AVE D'AQUITAINE,44.87344,-0.60002,4,AVE DE TIVOLI,0,,2,4,2,1,(1),(1),1,, -1,1,0,1,50
202000001786,22,6,2020,15:45,1,033,33318,2,3,1,6,AVE DU GENERAL LECLERC / RUE LEON MORIN,44.79601,-0.66728,4,AVE DU GENERAL LECLERC,0,,2,4,2,1,(1),(1),1,, -1,1,5,1,50
202000001787,11,6,2020,04:44,4,033,33162,1,6,2,2,RTE DE LACANAU / AVE JEAN MERMOZ,44.8754085,-0.6604393,4,RTE DE LACANAU,0,,3,4,0,1,(1),(1),1,, -1,2,0,1,50
202000001788,16,6,2020,18:01,1,033,33063,2,2,1,6,CRS VICTOR HUGO / RUE SAINT-JAMES,44.8350649,-0.5713267,4,CRS VICTOR HUGO,0,,2,4,2,1,(1),(1),1,, -1,1,5,1,50
202000001789,21,6,2020,02:20,5,033,33529,2,1,1,3,OCEAN (BD DE L'),44.61379,-1.20211,3,218,0,,2,2,2,1,6,410,1,,"5,5",1,0,1,30
202000001800,17,10,2020,19:45,5,033,33318,2,2,1,1,AVE DU GENERAL LECLERC,44.79918,-0.66314,4,AVE DU GENERAL LECLERC,0,,3,6,2,1,(1),(1),1,, -1,1,0,1,50
202000001801,17,10,2020,19:15,5,033,33063,2,2,1,2,"CRS DU MEDOC  (Ã  49,63 m du CRS BALGUERIE STUTTENBERG)",44.85872,-0.56734,4,CRS DU MEDOC,0,,2,4,2,1,(1),(1),1,, -1,1,0,1,50
202000001802,19,10,2020,00:30,5,033,33009,2,1,1,6,GAMBETTA (AVE) DU 30 ET +,44.65728,-1.16804,4,GAMBETTA (AVE) DU 30 ET +,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202000001833,17,10,2020,09:58,1,033,33523,1,2,1,3,RD140 / RD140E1,44.752676,-0.293638,3,140E1,-1,E,2,2,0,1,0,1,1,, -1,1,0,8,80
202000001857,19,10,2020,14:15,1,033,33218,2,3,1,3,19 Lieu Dit Montigaud,45.084058,-0.164535,3,910,0,,2,2,0,2,0,930,1,, -1,1,0,1,50
202000001862,18,10,2020,19:50,3,033,33023,1,1,1,5,AUTOROUTE A 62,44.6946,-0.49662,1,62,0,,3,4,0,1,9,899,1,, -1,1,0,1,90
202000001905,17,10,2020,17:10,1,033,33009,2,1,1,2,D650,44.65884,-1.15176,3,D650,0,,2,2,0,1,19,680,1,, -1,1,9,1,50
202000001952,21,8,2020,16:10,1,033,33164,1,1,1,6,D8,44.53993,-0.28662,3,8,0,,2,2,0,1,4,30,2,, -1,1,9,3,70
202000001956,25,8,2020,08:10,2,033,33260,1,1,1,2,Rue de la Gare,44.452776,-0.941048,3,110,-1,,2,2,0,1,4,590,1,, -1,1,0,1,80
202000001997,4,2,2020,02:06,5,033,33063,2,1,1,-1,Quai de Bacalan,44.85792,-0.55856,4,QUAI DE BACALAN,0,,3,6,2,1,(1),(1),1,, -1,1,0,1,50
202000002000,3,2,2020,15:50,1,033,33192,2,3,1,3,23 Cours du GÃ©nÃ©ral de Gaulle,44.78633,-0.6051,4,CRS DU GENERAL DE GAULLE,0,,2,4,2,1,(1),(1),1,, -1,1,0,1,50
202000002003,3,2,2020,06:30,5,033,33039,2,1,1,3,354 RTE DE TOULOUSE,44.79794,-0.56886,4,RTE DE TOULOUSE,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202000002030,23,8,2020,03:00,5,033,33063,2,3,1,3,QUAI DE LA GRAVE,44.8349,-0.56349,4,QUAI DE LA GRAVE,0,,3,7,2,1,(1),(1),1,, -1,1,5,1,50
202000002034,23,8,2020,21:10,5,033,33009,2,1,1,-1,159 Boulevard de la Plage,44.66273,-1.16326,3,650,0,,2,2,0,1,20,660,1,, -1,1,0,1,50
202000002202,4,2,2020,09:00,1,033,33122,1,3,1,1,Chemin de la Croix d'Hins,44.732478,-0.725135,4,Chemin de la Croix d'Hins,-1,,2,2,0,1,(1),(1),1,, -1,1,0,1,-1
202000002218,3,2,2020,18:45,5,033,33165,2,3,1,2,8 Avenue de Lignan,44.822901,-0.444582,3,115,-1,,2,2,0,1,56,925,1,,5,1,0,1,50
202000002248,20,8,2020,01:30,5,033,33109,2,2,1,5,D1113,44.697739,-0.447242,3,1113,-1,,2,2,0,2,50,930,3,, -1,1,0,1,50
202000002277,2,2,2020,22:30,5,033,33318,1,2,1,1,AVE DU GENERAL LECLERC,44.78237,-0.68887,3,214,0,,2,3,0,1,0,1,1,, -1,1,0,8,50
202000002319,22,8,2020,04:35,5,033,33063,2,7,1,3,PCE RAVESIES,44.86621,-0.57489,4,BD ALFRED DANEY,0,,3,8,2,1,(1),(1),1,, -1,1,5,1,50
202000002320,22,8,2020,11:30,1,033,33009,2,1,1,6,MESTREZAT (BD),44.65197,-1.14764,4,MESTREZAT (BD),0,,2,2,1,1,(1),(1),1,, -1,1,0,5,50
202000002374,14,7,2020,15:00,1,033,33039,2,2,1,6,BD JEAN-JACQUES BOSC / RUE LEON JOUHAUX,44.81556,-0.55143,4,BD JEAN-JACQUES BOSC,0,,2,4,2,1,(1),(1),1,, -1,1,5,1,50
202000002375,3,7,2020,17:15,1,033,33063,2,4,1,6,RUE DES IMPASSES / RUE CAMBON,44.82627,-0.55337,4,RUE DES IMPASSES,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
