IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z10BE;405;497;5381;16.1;0.5;-0.2;449;9.1;35;-2.8;;Bordeaux Rue Bethmann Bx II;Sens Entrant;;
Z10CT13;283;322;3922;11.2;12.6;10.5;;;;;;Bordeaux 245 Rue du Tondu;Sens Entrant;;
Z10CT17;412;404;4439;-1.0;-3.4;-4.4;;;;;;Talence Rue Vieille Tour après Lavoisier;Sens Entrant;;
Z10CT19;599;672;8463;-9.1;-4.7;-7.0;;;;;;Bordeaux Béchade après giratoire;Sens Sortant;;
Z10CT23;592;656;9078;-5.1;-5.7;-6.2;;;;;;Bordeaux Tauzin avant rue Haut Brion;Sens Sortant;;
Z11CT12;874;764;11574;-1.3;-0.9;-3.3;;;;;;Bordeaux Blvd Roosevelt avant Jaurès;Sud > Nord;;
Z11CT13;365;368;4718;-1.7;-7.7;-4.2;;;;;;Bordeaux Rue Brun;Boulevards > Somme;;
Z11CT15;393;383;4679;-1.4;4.9;1.0;;;;;;Talence Cours Gambetta après Pt SNCF;Sens Sortant;;
Z11CT16;439;420;5036;-0.6;3.6;2.9;;;;;;Talence Cours Gambetta après Roustaing;Sens Sortant;;
Z11CT2;405;440;4929;6.6;1.4;1.2;;;;;;Talence Cours Gambetta avant Pt SNCF;Sens Entrant;;
Z12AS;203;300;3538;44.0;-2.9;7.6;179;-1.9;27;-6.9;;Bègles 99 cours Victor Hugo;Sens Sortant;;
Z12CT13;538;556;8298;1.7;3.5;2.1;;;;;;Bordeaux 52 Blvd Albert 1er;Sud > Nord;;
Z12CT16;357;266;3326;-7.1;-8.8;-11.0;;;;;;Bordeaux Rue de Bègles après Vaucouleur;Sens Entrant;;
Z12CT4;666;735;9786;-4.3;0.1;-0.8;;;;;;Bordeaux Rte Toulouse après Suzon;Sens Sortant;;
Z12CT6;455;364;6527;2.1;-2.4;-2.1;;;;;;Bordeaux Rte Toulouse après Suzon;Sens Entrant;;
Z13CT14;253;255;4341;-5.5;-0.3;0.7;;;;;;Bordeaux Ulysse Gayon;Sens Sortant;;
Z13CT18;271;264;4592;-4.2;-1.5;-3.1;;;;;;Bordeaux Rue Fondaudège;;;
Z13CT21;250;246;3682;-13.2;-20.2;-7.5;;;;;;Bordeaux Rue de la Course;;;
Z13CT4;983;931;15135;5.3;2.1;-1.8;;;;;;Bordeaux Blvd Wilson après Colmar;Sud > Nord;;
Z14CT14;447;414;6786;0.3;-10.7;-1.7;;;;;;Bordeaux Quai Chartrons avant Chantecrit;Sud > Nord;;
Z14CT20;209;566;5449;-3.5;21.2;10.6;;;;;;Bordeaux Boulevard Alfred Daney;Sens Entrant;;
Z15CT11;173;237;2412;11.1;14.9;8.6;;;;;;Bordeaux Av. E. Counord après giratoire;Sens Sortant;;
Z15CT12;354;329;4804;-2.8;-0.7;-0.9;;;;;;Bordeaux Av. E. Counord avant Guillemin;Sens Entrant;;
Z15CT4;410;373;6615;-2.5;-0.5;2.7;;;;;;Bordeaux Cours de Verdun après Doumer;Nord > Sud;;
Z15CT5;299;329;4513;-15.8;-17.4;-15.6;;;;;;Bordeaux Cours Martinique après Portal;Sens Sortant;;
Z16BS;524;483;5980;8.7;1.9;-3.6;310;-10.5;45;-8.2;;Pessac 9 Av. de Madran;Sens Sortant;;
Z16CE;438;682;7703;4.3;-15.1;-1.5;414;-5.1;25;-10.7;;Pessac Av. de Canejan niveau rocade;Sens Entrant;;
Z16CT12;176;252;2481;7.5;2.8;3.4;;;;;;Pessac Av. Bougnard;Sens Entrant;;
Z16CT2;416;487;5355;-0.8;8.5;2.7;;;;;;Bordeaux Av. Jaurès;Sens Sortant;;
Z16CT5;435;527;5410;1.1;5.8;1.9;;;;;;Pessac Av. Pasteur après Aciéries;Sens Entrant;;
Z17CT10;981;1072;14136;-2.0;-4.8;-0.5;;;;;;Talence Cours de la Libération;Sens Entrant;;
Z17CT13;189;272;2092;0.5;-8.6;-9.5;;;;;;Talence Rue Lamartine avant Suzon;Sens Sortant;;
Z17CT2;443;534;6388;8.3;10.3;9.9;;;;;;Talence Cours de la Libération après Bdx 1;Sens Sortant;;
Z17DE;403;364;3821;7.5;1.6;-0.9;143;-2.4;44;0.0;;Talence av de Thouars (face au château);Sens Entrant;;
Z18CT1;386;435;5067;13.4;-6.7;-5.7;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Sortant;;
Z18CT10;518;497;6084;3.5;1.5;3.6;;;;;;Gradignan Gal de Gaulle après Rochefort;Sens Entrant;;
Z18CT11;314;252;3177;1.8;-4.6;-5.7;;;;;;Gradignan F. de Monjous avant de Gaulle;Sud > Nord;;
Z18CT5;227;471;5541;-23.4;-6.6;-2.5;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Entrant;;
Z19AE;448;426;6064;8.1;0.5;-1.3;374;7.4;37;2.8;;Villenave d'Ornon 335 rte Toulouse;Sens Entrant;;
Z19CT1;630;745;9516;-0.7;2.2;3.3;;;;;;Bègles Rte de Toulouse aprés Sévène;Sens Sortant;;
Z19CT15;292;170;2367;2.0;15.6;14.0;;;;;;Villenave d'Ornon Rue Jean Pages;Sens Entrant;;
Z1CT13;1442;1177;18453;-8.8;-11.9;-7.5;;;;;;Bordeaux Quai Grave après Allamandier;Sud > Nord;;
Z1CT15;247;261;3671;12.4;26.6;13.4;;;;;;Bordeaux Martinique;Sens Entrant;;
