CARTO;Compteur;débit HPM 2010;débit HPS 2010;débit MJO 2010;débit HPM 2011;débit HPS 2011;débit MJO 2011;Evolution HPM;Evolution HPS;Evolution MJO;PL 2010;PL 2011;PL Evolution;Vitesse moyenne  2010;Vitesse moyenne   2011;Vitesse moyenne   Evolution
CUB;Z07Be;478.95;743.28;6240.8;464.41;719.68;6217.69;-3,04%;-3,17%;-0,37%;192.68;239.78;24%;43.83;43.79;-0.03
CUB;Z07Bs;686.98;478.33;5777.68;677.79;554.36;6449.07;-1,34%;15,90%;11,62%;235.6;292.36;24%;47.1;42.81;-4.29
CUB;Z08Ae;814.0;776.73;10742.43;759.87;786.01;10725.01;-6,65%;1,20%;-0,16%;278.23;321.29;15%;24.2;22.15;-2.05
CENTRE;Z08Be;533.86;237.77;4237.49;446.98;222.74;3973.05;-16,27%;-6,32%;-6,24%;426.71;360.14;-16%;47.06;41.21;-5.85
CENTRE;Z08Bs;277.97;479.91;4279.54;276.03;467.99;4207.76;-0,70%;-2,49%;-1,68%;449.39;462.98;3%;42.45;40.14;-2.31
CUB;Z09Ae;515.68;441.78;6672.45;510.54;444.72;6614.43;-1,00%;0,67%;-0,87%;250.05;253.31;1%;42.58;42.24;-0.34
CUB;Z12Ae;344.78;396.5;4528.13;350.66;407.67;4546.39;1,71%;2,82%;0,40%;170.05;176.84;4%;31.63;31.2;-0.43
CUB;Z16De;653.63;853.0;9651.68;663.46;745.59;9446.71;1,50%;-12,59%;-2,12%;335.6;398.24;19%;25.53;20.83;-4.7
CUB;Z16Ds;883.13;895.8;10124.43;873.04;878.83;10295.58;-1,14%;-1,89%;1,69%;242.55;292.52;21%;40.3;38.98;-1.33
CUB;Z17As;475.45;455.5;6658.3;452.78;452.41;6604.4;-4,77%;-0,68%;-0,81%;90.3;136.01;51%;19.39;19.05;-0.34
CUB;Z17Cs;189.05;564.6;3584.88;228.11;630.63;4060.72;20,66%;11,69%;13,27%;57.98;116.93;;40.73;48.16;7.43
CUB;Z17Ds;294.25;428.65;3369.73;313.01;467.29;3642.24;6,38%;9,02%;8,09%;114.38;120.19;5%;48.8;47.65;-1.15
CUB;Z17Es;162.6;84.93;1023.98;173.26;76.76;1021.98;6,56%;-9,61%;-0,19%;4.58;3.64;-20%;33.55;34.19;0.64
CUB;Z19Ce;820.4;859.55;9817.35;815.11;892.29;10284.66;-0,64%;3,81%;4,76%;433.3;489.58;13%;47.63;45.79;-1.84
CUB;Z19Cs;744.55;806.63;9255.95;768.58;829.45;9880.72;3,23%;2,83%;6,75%;492.55;553.63;12%;47.63;44.46;-3.16
CUB;Z19De;437.26;436.94;4695.01;431.05;425.47;4652.28;-1,42%;-2,62%;-0,91%;63.51;58.2;-8%;53.08;51.4;-1.68
CUB;Z20Ae;771.77;698.51;8879.29;762.89;708.67;8811.0;-1,15%;1,45%;-0,77%;239.5;238.03;-1%;38.53;37.57;-0.95
CUB;Z20As;659.84;792.83;8483.19;656.69;764.03;8400.35;-0,48%;-3,63%;-0,98%;;220.2;;;36.44;
CUB;Z21As;525.15;598.6;7552.03;500.64;588.14;7365.93;-4,67%;-1,75%;-2,46%;208.43;202.48;-3%;32.48;33.53;1.06
CUB;Z21Be;672.48;498.98;6124.28;698.23;509.67;6334.43;3,83%;2,14%;3,43%;167.18;174.17;4%;33.93;31.95;-1.98
CUB;Z21Ce;;;;510.12;330.24;4664.84;;;;;52.52;;;34.76;
CUB;Z21De;275.9;327.9;3154.8;328.94;325.22;3676.26;;;;;153.49;;;33.06;
CUB;Z21Ds;354.2;381.4;3756.9;335.59;365.71;3799.33;;;;;146.49;;;36.6;
CUB;Z22Ae;890.48;648.12;8088.68;867.13;611.09;7705.71;-2,62%;-5,71%;-4,73%;784.2;780.41;0%;51.52;51.05;-0.47
CUB;Z23Ae;612.89;496.6;5537.09;623.67;521.54;5751.52;1,76%;5,02%;3,87%;107.68;137.71;28%;46.74;43.25;-3.49
CUB;Z23As;414.51;562.03;5031.51;448.88;582.76;5346.59;8,29%;3,69%;6,26%;114.75;143.39;25%;50.65;49.35;-1.3
CUB;Z24Be;590.85;805.59;10269.58;577.3;788.1;10095.0;-2,29%;-2,17%;-1,70%;384.33;346.7;-10%;34.23;31.6;-2.63
CUB;Z24Bs;1119.3;1103.94;14997.36;1051.6;1076.6;14837.0;-6,05%;-2,48%;-1,07%;474.68;534.7;13%;34.86;33.3;-1.56
CUB;Z25Be;927.5;655.17;8253.67;923.58;622.78;8166.24;-0,42%;-4,94%;-1,06%;294.03;294.46;0%;29.2;37.33;8.13
CUB;Z26As;341.95;522.05;5849.95;331.23;520.08;5755.41;-3,13%;-0,38%;-1,62%;350.03;374.9;7%;45.08;45.13;0.05
CUB;Z26Be;287.33;288.05;3368.38;252.96;250.19;2954.84;-11,96%;-13,14%;-12,28%;129.03;126.61;-2%;32.01;33.37;1.36
CUB;Z29As;222.3;459.4;3303.85;218.82;473.26;3376.6;-1,57%;3,02%;2,20%;70.33;70.73;1%;56.48;55.83;-0.64
CENTRE;Z29Be;1330.0;1364.0;15706.4;;;;;;;349.0;;;;;
CUB;Z29Ds;448.57;919.83;8564.74;433.67;902.37;8462.88;-3,32%;-1,90%;-1,19%;312.2;339.19;9%;32.21;32.78;0.57
CUB;Z30Ae;444.21;913.75;11322.49;467.54;961.96;11428.95;5,25%;5,28%;0,94%;303.17;164.08;-46%;48.68;47.04;-1.64
CUB;Z30Cs;376.25;507.63;5589.0;309.99;428.59;4649.76;-17,61%;-15,57%;-16,81%;213.3;172.81;-19%;35.9;36.95;1.05
CUB;Z30Es>n;640.98;428.85;4757.98;660.18;424.17;4818.96;3,00%;-1,09%;1,28%;101.3;106.27;5%;42.35;41.33;-1.02
CUB;Z32Ae;482.26;464.29;5315.85;530.21;468.97;5574.17;9,94%;1,01%;4,86%;262.46;301.35;15%;51.66;53.26;1.61
CENTRE;Z2ct2;790.2;811.65;11449.55;771.0;753.33;10780.08;-2,43%;-7,19%;-5,85%;;;;;;
CENTRE;Z2ct3;574.75;595.88;9994.88;562.8;571.18;9649.03;-2,08%;-4,15%;-3,46%;;;;;;
CENTRE;Z2ct5;355.68;408.28;6012.23;355.38;408.13;6045.58;-0,08%;-0,04%;0,55%;;;;;;
CENTRE;Z2CT8;280.38;275.08;4492.65;258.13;263.25;4348.18;-7,94%;-4,30%;-3,22%;;;;;;
CENTRE;Z2CT16;648.7;624.7;9663.15;601.13;576.48;8931.03;-7,33%;-7,72%;-7,58%;;;;;;
CENTRE;Z2CT21;179.35;263.2;3716.18;173.7;257.43;3849.35;-3,15%;-2,19%;3,58%;;;;;;
CENTRE;Z2CT22;366.85;309.33;5262.1;360.18;305.53;5233.0;-1,82%;-1,23%;-0,55%;;;;;;
CENTRE;Z3CT4;140.4;172.5;2031.98;143.68;191.45;2129.63;2,33%;10,99%;4,81%;;;;;;
CENTRE;Z3CT9;245.63;152.95;2320.08;299.15;182.98;2700.7;21,79%;19,63%;16,41%;;;;;;
CENTRE;Z3CT11;414.83;459.8;7126.88;408.0;442.08;6897.63;-1,65%;-3,85%;-3,22%;;;;;;
CENTRE;Z3CT12;567.12;484.09;7818.96;570.44;472.74;7663.48;0,59%;-2,34%;-1,99%;;;;;;
CENTRE;Z3CT14;332.35;625.7;5464.9;329.1;626.97;5156.6;-0,98%;0,20%;-5,64%;;;;;;
CENTRE;Z3CT15;333.72;681.4;5569.84;325.95;667.95;5246.35;-2,33%;-1,97%;-5,81%;;;;;;
CENTRE;Z3CT17;103.88;103.2;1631.98;100.75;93.08;1503.58;-3,01%;-9,81%;-7,87%;;;;;;
CENTRE;Z4ct1;1266.45;1038.45;15434.13;1185.55;1029.28;14689.65;-6,39%;-0,88%;-4,82%;;;;;;
CENTRE;Z4ct2;474.03;491.63;8288.05;474.98;482.5;8254.95;0,20%;-1,86%;-0,40%;;;;;;
CENTRE;Z4CT4;258.47;245.2;3364.7;207.9;226.55;3058.6;-19,56%;-7,61%;-9,10%;;;;;;
CENTRE;Z4CT10;342.5;374.7;5472.75;277.75;299.45;4481.15;;;;;;;;;
CENTRE;Z4CT12;159.93;202.88;2723.73;153.73;203.45;2762.38;-3,88%;0,28%;1,42%;;;;;;
CENTRE;Z4ct15;982.28;783.43;12624.05;929.43;802.43;12483.08;-5,38%;2,43%;-1,12%;;;;;;
CENTRE;Z4CT16;70.43;82.83;1040.03;68.4;78.48;1020.58;-2,89%;-5,26%;-1,87%;;;;;;
CENTRE;Z4ct17;89.9;133.23;1639.95;116.48;137.03;1704.55;29,56%;2,85%;3,94%;;;;;;
CENTRE;Z4CT20;335.65;355.15;4877.03;288.78;351.33;4549.53;-13,97%;-1,08%;-6,72%;;;;;;
CENTRE;Z4ct21;365.85;332.35;5330.05;323.6;336.53;5207.13;-11,55%;1,26%;-2,31%;;;;;;
CENTRE;Z5CT4;733.93;616.13;7602.45;691.1;598.18;7564.88;-5,84%;-2,91%;-0,49%;;;;;;
CENTRE;Z5CT5;1226.7;976.2;14869.15;1365.65;1026.2;15741.53;11,33%;5,12%;5,87%;;;;;;
CENTRE;Z5CT8;593.95;611.95;8325.95;546.28;622.3;7891.9;-8,03%;1,69%;-5,21%;;;;;;
CENTRE;Z5CT11;;;;;;;;;;;;;;;
CENTRE;Z5CT13;376.45;544.1;7432.03;348.93;466.33;6840.1;-7,31%;-14,29%;-7,96%;;;;;;
CENTRE;Z5CT18;1772.7;1814.2;18973.1;1827.4;1774.83;19247.37;3,09%;-2,17%;1,45%;;;;;;
CENTRE;Z5CT22;1578.15;1339.4;19673.25;1546.08;1267.95;19218.73;-2,03%;-5,33%;-2,31%;;;;;;
CENTRE;Z6CT1;1113.53;1159.38;18327.8;1143.43;1124.35;18141.4;2,69%;-3,02%;-1,02%;;;;;;
CENTRE;Z6CT17;158.83;340.4;2971.63;159.68;338.23;2985.5;0,54%;-0,64%;0,47%;;;;;;
CUB;Z7ct5;;;;339.7;499.6;6419.0;;;;;;;;;
CUB;Z7CT7;528.78;436.35;5614.9;536.0;431.65;5551.6;1,37%;-1,08%;-1,13%;;;;;;
CENTRE;Z8ct1;642.5;676.83;10431.33;631.95;658.28;10222.05;-1,64%;-2,74%;-2,01%;;;;;;
CUB;Z8ct6;861.4;773.2;10960.75;824.55;772.4;10766.38;-4,28%;-0,10%;-1,77%;;;;;;
CENTRE;Z8ct12;506.25;700.58;8110.03;522.88;658.2;8092.73;3,28%;-6,05%;-0,21%;;;;;;
CENTRE;Z9CT1;1509.73;1333.18;20924.33;1593.05;1375.0;21414.9;5,52%;3,14%;2,34%;;;;;;
CUB;Z9CT5;293.67;289.73;3374.27;;;;;;;;;;;;
CUB;Z9CT11;808.0;921.63;11973.91;800.18;909.5;11749.88;-0,97%;-1,32%;-1,87%;;;;;;
CUB;Z9CT16;449.08;622.55;7464.03;458.05;612.88;7385.83;2,00%;-1,55%;-1,05%;;;;;;
CENTRE;Z10CT1;1070.25;1140.98;15366.83;1098.7;1110.78;15045.75;2,66%;-2,65%;-2,09%;;;;;;
CUB;Z10CT9;826.48;762.98;9781.83;815.15;747.38;9295.93;-1,37%;-2,04%;-4,97%;;;;;;
CUB;Z10ct14;673.8;487.33;7971.93;867.0;577.7;9413.5;28,67%;18,54%;18,08%;;;;;;
CUB;Z10CT17;533.15;523.35;6257.13;527.53;509.5;5966.03;-1,06%;-2,65%;-4,65%;;;;;;
CUB;Z10CT18;;;;1300.45;1209.18;16377.73;;;;;;;;;
CENTRE;Z10CT24;602.07;336.57;4726.47;595.45;366.18;4791.78;-1,10%;8,80%;1,38%;;;;;;
CUB;Z11CT1;227.65;373.43;4676.45;232.5;367.08;4528.05;2,13%;-1,70%;-3,17%;;;;;;
CENTRE;Z11CT7;456.43;488.6;5646.35;441.85;476.65;5452.55;-3,19%;-2,45%;-3,43%;;;;;;
CUB;Z11CT8;334.73;333.88;4569.13;321.4;331.45;4323.68;-3,98%;-0,73%;-5,37%;;;;;;
CENTRE;Z11CT10;1455.11;1810.37;21503.63;1445.65;1813.35;21347.73;-0,65%;0,16%;-0,73%;;;;;;
CUB;Z11CT11;650.28;524.85;5793.6;644.58;505.58;5685.65;-0,88%;-3,67%;-1,86%;;;;;;
CENTRE;Z11CT13;276.35;330.85;4246.65;285.8;333.9;4176.23;3,42%;0,92%;-1,66%;;;;;;
CUB;Z11CT15;428.33;455.48;5854.18;443.85;443.63;5737.73;3,62%;-2,60%;-1,99%;;;;;;
CENTRE;Z12CT1;416.43;520.53;6476.28;427.75;529.48;6390.5;2,72%;1,72%;-1,32%;;;;;;
CENTRE;Z12CT2;583.33;488.93;6771.05;577.15;487.08;6552.28;-1,06%;-0,38%;-3,23%;;;;;;
CUB;Z12CT4;814.63;962.48;12297.6;819.65;963.8;12289.2;0,62%;0,14%;-0,07%;;;;;;
CUB;Z12CT6;768.4;628.03;9786.95;747.68;620.53;9787.55;-2,70%;-1,19%;0,01%;;;;;;
CENTRE;Z12CT9;932.43;1087.55;13442.33;956.5;1133.85;13857.85;2,58%;4,26%;3,09%;;;;;;
CENTRE;Z12CT11;637.35;758.4;9920.5;721.45;853.38;11053.88;13,20%;12,52%;11,42%;;;;;;
CENTRE;Z12CT12;932.38;902.38;12172.33;947.18;931.98;12375.0;1,59%;3,28%;1,67%;;;;;;
CENTRE;Z12CT13;770.13;831.3;11609.8;778.9;846.8;11713.43;1,14%;1,86%;0,89%;;;;;;
CENTRE;Z13CT2;734.34;919.24;14712.74;728.15;921.83;14894.73;-0,84%;0,28%;1,24%;;;;;;
CENTRE;Z13CT3;1327.7;1287.8;19985.08;1354.58;1300.18;20323.53;2,02%;0,96%;1,69%;;;;;;
CENTRE;Z13CT9;421.05;384.33;5851.2;393.0;402.88;5775.33;-6,66%;4,83%;-1,30%;;;;;;
CENTRE;Z13CT11;619.05;689.15;8272.2;643.5;702.7;8134.65;3,95%;1,97%;-1,66%;;;;;;
CUB;Z13CT12;1090.95;853.33;12567.65;1052.18;850.48;12389.55;-3,55%;-0,33%;-1,42%;;;;;;
CENTRE;Z13CT14;378.38;372.95;5441.3;378.4;380.83;5345.6;0,01%;2,11%;-1,76%;;;;;;
CENTRE;Z13CT18;619.24;750.36;10192.2;596.45;725.85;9714.1;-3,68%;-3,27%;-4,69%;;;;;;
CENTRE;Z14CT1;1187.8;885.81;14815.2;1130.39;859.04;14357.57;-4,83%;-3,02%;-3,09%;;;;;;
CUB;Z14CT8;1807.6;2453.65;27106.4;1750.76;2435.11;27188.38;-3,14%;-0,76%;0,30%;;;;;;
CENTRE;Z14CT11;784.88;989.68;13795.0;846.42;1072.69;14892.46;7,84%;8,39%;7,96%;;;;;;
CENTRE;Z15CT3;530.98;519.93;7982.63;571.45;551.3;8184.65;7,62%;6,03%;2,53%;;;;;;
CENTRE;Z15CT6;58.95;70.43;938.63;49.63;63.05;846.28;;;;;;;;;
CENTRE;Z15CT12;372.0;384.83;4863.25;377.28;401.7;5038.9;1,42%;4,39%;3,61%;;;;;;
CUB;Z16CT1;610.78;611.28;7283.93;632.46;605.94;7323.97;3,55%;-0,87%;0,55%;;;;;;
CUB;Z16CT7;395.75;498.98;5775.05;413.03;515.11;6060.57;4,37%;3,23%;4,94%;;;;;;
CUB;Z16CT14;631.15;739.85;6695.35;665.78;739.3;6726.83;5,49%;-0,07%;0,47%;;;;;;
CUB;Z17CT3;1008.7;1300.4;14602.78;1011.2;1290.6;14402.33;0,25%;-0,75%;-1,37%;;;;;;
