IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT
Z05Be;522;515;6836;-1,60%;-2,80%;0,23%;575;-5,28%;47.8;-1.8;
Z07Be;437;535;5645;23,52%;3,51%;9,13%;331;-2,98%;29.2;-7.5;
Z07Bs;397;367;3915;-15,11%;-4,71%;-9,11%;286;1,20%;37.1;-2.0;
Z08Ae;649;639;8824;-5,93%;-8,81%;-8,63%;271;-8,72%;16.8;-4.5;
Z10Ae;448;505;5687;-0,64%;0,78%;0,51%;67;6,83%;32.1;-10.3;
Z16Ae;579;574;6685;9,85%;-1,49%;0,06%;304;2,43%;42.8;0.2;
Z16Bs;667;611;6996;2,50%;-0,82%;-0,52%;425;2,67%;47.1;-0.5;
Z16Ds;960;966;11398;1,33%;4,68%;3,53%;378;5,35%;37.1;0.7;
Z17Be;1066;1097;14088;3,98%;-2,40%;1,16%;584;6,85%;25.3;2.1;
Z17Ce;777;417;4928;16,62%;-4,27%;8,04%;117;-0,33%;40.5;1.0;
Z17De;369;308;3185;12,58%;-7,37%;-3,72%;111;-7,45%;46.4;-0.4;
Z17Es;194;86;1059;13,32%;4,35%;2,40%;5;-3,38%;33.4;0.0;
Z19Be;759;788;10855;-0,23%;1,89%;0,75%;780;-2,14%;16.0;-2.6;
Z19Ce;882;862;10403;3,49%;-7,23%;0,03%;530;2,84%;44.4;2.7;
Z19Cs;710;760;9519;-0,21%;0,51%;0,81%;520;2,06%;42.2;3.4;
Z20Ae;684;677;8832;-8,06%;-2,69%;-0,66%;;;;;
Z20Be;772;581;7539;1,03%;0,56%;0,66%;188;-3,30%;35.1;-0.1;
Z20Bs;568;834;7516;12,04%;7,36%;7,14%;193;-3,09%;26.2;-9.7;
Z21Ae;477;470;6586;-4,04%;-2,62%;-3,96%;171;-4,04%;34.7;1.4;
Z21Bs;548;707;7285;6,45%;2,66%;5,19%;118;-23,18%;36.4;-0.2;
Z21Ce;520;359;4617;4,06%;8,51%;3,49%;32;-30,15%;36.4;0.1;
Z23Bs;672;635;6766;8,86%;2,14%;-0,64%;398;1,44%;41.1;-0.1;
Z23Ce;709;782;10403;-3,14%;-1,22%;-5,83%;580;-4,44%;31.3;-1.0;
Z23De;165;296;2701;-6,54%;-0,92%;-2,09%;196;-0,39%;51.2;-0.4;
Z24Ae;517;591;7638;8,23%;4,10%;-1,73%;371;-3,09%;34.7;2.8;
Z24As;643;692;7667;-0,51%;-2,87%;-0,59%;392;0,21%;49.1;0.0;
Z25Ae;637;640;7989;-11,92%;-7,06%;-4,68%;201;24,19%;34.1;5.0;
Z26Ce;527;606;8675;-17,85%;-6,69%;-3,64%;274;-7,73%;42.2;-0.5;
Z27As;900;842;9597;11,79%;1,35%;1,67%;361;2,19%;35.9;-0.9;
Z29Ds;479;887;8788;2,91%;-0,30%;1,08%;292;-0,50%;31.7;-0.3;
Z30Bs;828;764;9922;5,29%;6,96%;6,26%;276;4,37%;39.5;-0.6;
Z30Cs;358;467;5492;1,65%;-1,59%;2,02%;176;0,81%;34.1;-0.3;
Z30En>s;365;591;4896;2,71%;-1,81%;2,51%;100;0,46%;47.7;-0.7;
Z32As;433;650;5812;12,10%;9,02%;5,04%;261;2,52%;48.1;-0.8;
Z1ct3;751;872;11898;-5,65%;-1,56%;-3,72%;;;;;
Z1CT15;218;183;2660;;;;;;;;
Z2ct2;589;611;8974;-10,65%;-7,20%;-7,01%;;;;;
Z2CT8;244;250;4064;-9,05%;-7,66%;-6,80%;;;;;
Z2CT11;509;466;7945;3,67%;1,10%;-1,59%;;;;;
Z2ct12;332;312;4779;-15,05%;-9,13%;-11,57%;;;;;
Z2CT16;582;533;8402;-7,02%;-9,19%;-9,73%;;;;;
Z2ct17;564;538;8327;-1,97%;-2,75%;-0,97%;;;;;
Z2ct18;464;377;6349;-3,51%;-2,77%;-4,72%;;;;;
Z3ct6;349;293;3876;-2,38%;1,57%;0,05%;;;;;
Z3CT7;183;173;2748;-16,51%;-15,88%;-13,76%;;;;;
Z3CT11;368;378;5994;27,27%;8,19%;10,40%;;;;;
Z3CT18;193;286;3830;3,49%;3,93%;4,54%;;;;;
Z4ct2;480;433;7757;24,45%;27,32%;4,03%;;;;;
Z4CT4;175;183;2485;-1,86%;-3,81%;-3,05%;;;;;
Z4ct10;258;294;4339;-4,37%;-3,24%;-0,01%;;;;;
Z4CT13;471;470;6667;;;;;;;;
Z4ct18;847;838;12556;1,21%;-0,12%;2,69%;;;;;
Z4CT20;289;348;4555;-6,59%;-4,00%;-2,55%;;;;;
Z4CT23;346;424;5614;4,68%;-2,56%;0,20%;;;;;
Z5CT2;1615;2117;21241;6,15%;3,53%;2,93%;;;;;
Z5CT3;633;516;6885;-1,45%;-4,27%;1,40%;;;;;
Z5CT5;1461;1036;15652;9,92%;1,50%;2,51%;;;;;
Z5CT11;538;489;7346;-2,52%;-6,40%;-0,17%;;;;;
Z5CT18;1979;1903;20470;4,97%;3,74%;4,69%;;;;;
Z6CT5;636;803;9484;-0,69%;-1,45%;1,69%;;;;;
Z6CT6;1212;1546;18224;-4,01%;-8,12%;-3,82%;;;;;
Z6CT9;564;684;8603;-2,37%;-1,99%;0,57%;;;;;
Z6CT11;967;874;12261;-2,38%;-2,47%;1,00%;;;;;
Z6CT19;1080;1125;14039;-3,65%;-5,89%;-0,17%;;;;;
Z7CT2;643;497;6922;1,94%;-2,41%;0,75%;;;;;
Z7CT8;210;380;4300;-5,65%;6,55%;0,32%;;;;;
Z8ct2;245;285;3882;-14,82%;-13,12%;-10,28%;;;;;
Z8ct8;655;838;10206;-4,37%;-5,66%;-5,42%;;;;;
Z8ct9;697;844;10186;-7,25%;-9,72%;-8,76%;;;;;
Z8CT17;634;612;9023;-6,21%;-4,93%;-6,04%;;;;;
Z8CT18;196;215;2449;0,46%;-9,99%;-6,10%;;;;;
Z9CT6;540;453;6829;-4,01%;-6,46%;-4,90%;;;;;
Z9CT12;516;531;7605;-1,54%;0,18%;-2,02%;;;;;
Z9CT19;853;662;10103;-0,10%;-5,23%;-3,35%;;;;;
Z10CT10;537;474;7015;3,65%;4,85%;6,24%;;;;;
Z10CT21;537;718;8971;-3,06%;2,63%;5,65%;;;;;
Z10ct23;564;732;8459;0,17%;-2,45%;4,95%;;;;;
Z11CT2;405;504;6328;-1,41%;-0,67%;-1,21%;;;;;
Z11CT7;448;462;5146;-0,65%;2,19%;-0,20%;;;;;
Z11CT12;1240;1090;15599;-0,41%;0,14%;0,06%;;;;;
Z11CT15;406;411;5254;-3,18%;-0,77%;-1,15%;;;;;
Z12CT2;547;464;6305;1,03%;-0,79%;0,48%;;;;;
Z12CT5;660;582;9044;2,20%;0,34%;1,55%;;;;;
Z12CT9;859;1017;12578;-6,47%;-9,94%;-5,01%;;;;;
Z12CT10;1109;1188;14467;1,67%;0,74%;0,71%;;;;;
Z12CT14;260;425;4054;-1,13%;-2,26%;-1,14%;;;;;
Z13CT4;1244;1214;19956;1,87%;8,12%;2,46%;;;;;
Z13CT5;1363;1184;19155;-14,92%;-15,78%;-12,20%;;;;;
Z13CT9;382;355;5076;6,41%;3,14%;0,60%;;;;;
Z13CT14;348;354;4964;-2,39%;-1,84%;-3,52%;;;;;
Z13CT15;317;361;4039;4,96%;5,15%;4,91%;;;;;
Z13CT18;589;708;9416;-1,42%;3,47%;1,96%;;;;;
Z13CT19;620;444;6573;-1,08%;-0,45%;-0,65%;;;;;
Z14CT2;1383;1103;17764;23,41%;22,69%;16,86%;;;;;
Z14CT4;848;662;8381;4,54%;1,69%;1,37%;;;;;
Z14CT11;1033;1218;17128;15,60%;9,15%;9,27%;;;;;
Z14ct13;347;358;5503;-5,57%;7,14%;1,99%;;;;;
Z14CT22;1127;908;11064;5,98%;7,80%;10,08%;;;;;
Z15CT3;557;576;8166;-1,25%;-0,53%;-0,63%;;;;;
Z15CT9;301;320;3723;21,40%;14,95%;12,77%;;;;;
Z15CT10;165;171;2232;-9,74%;-3,13%;-9,79%;;;;;
Z16CT5;520;475;6002;-3,47%;-1,39%;-1,90%;;;;;
Z16CT7;361;480;5668;-4,23%;-1,25%;-0,96%;;;;;
Z16CT14;684;785;7158;-22,58%;-3,73%;-0,12%;;;;;
Z17CT8;735;740;9783;2,46%;-0,28%;-1,85%;;;;;
Z17CT12;488;355;4276;0,38%;-0,21%;-0,88%;;;;;
Z17CT14;486;528;7479;-6,70%;-7,35%;-3,55%;;;;;
Z18CT1;409;672;7885;4,19%;1,82%;1,21%;;;;;
Z18CT2;381;377;4596;-0,07%;-3,60%;-1,69%;;;;;
Z18CT10;538;616;7702;-5,12%;-3,07%;-1,55%;;;;;
Z18CT13;251;502;4407;-3,61%;13,26%;-2,51%;;;;;
Z19CT3;494;499;8108;-4,24%;-5,14%;-4,00%;;;;;
Z19CT4;;;;;;;;;;;
Z19CT6;402;393;5005;5,80%;1,13%;-2,02%;;;;;
Z19CT9;411;599;7145;2,05%;1,84%;2,18%;;;;;
Z19CT16;908;814;11519;1,87%;-1,77%;0,17%;;;;;
Z20CT1;883;1057;12478;-0,47%;-0,44%;-1,20%;;;;;
Z21CT1;384;537;6408;-1,94%;3,25%;-2,26%;;;;;
Z21CT4;772;808;10526;-3,30%;-2,70%;-3,88%;;;;;
Z21CT6;479;466;6492;-3,46%;-4,34%;-5,19%;;;;;
Z22CT11;339;248;3414;9,12%;4,55%;6,34%;;;;;
Z22CT12;401;320;4033;-5,02%;-2,31%;-0,30%;;;;;
Z23ct1;838;792;10966;0,09%;-1,83%;-2,61%;;;;;
Z23CT2;1047;823;13184;-3,29%;-1,59%;-2,91%;;;;;
Z23CT5;379;411;4967;17,28%;17,88%;0,60%;;;;;
Z23CT7;660;859;11840;-4,57%;1,46%;-1,93%;;;;;
Z23CT9;638;553;7081;1,94%;2,55%;0,08%;;;;;
Z24CT1;627;693;7635;-10,49%;-3,43%;-1,50%;;;;;
Z24CT4;;;;;;;;;;;
Z24CT5;801;704;8705;-10,27%;-12,05%;-10,83%;;;;;
Z25CT3;1134;1534;18759;2,90%;-3,25%;0,18%;;;;;
Z25CT4;2318;1214;20040;3,43%;-2,15%;1,91%;;;;;
Z25CT5;516;445;4789;17,83%;-7,78%;7,87%;;;;;
Z25CT6;183;419;4801;-6,21%;-3,46%;-4,90%;;;;;
Z25ct13;592;551;6342;25,95%;-10,15%;3,20%;;;;;
Z25CT22;103;172;1821;;;;;;;;
Z25CT23;223;177;2594;11,69%;11,80%;13,34%;;;;;
Z26CT1;735;780;10315;-4,32%;-5,08%;-5,17%;;;;;
