IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z07AE;572;869;9859;9,76%;5,82%;6,53%;319;12,55%;30.3;-3.2;;Mérignac face 130 bis avenue de l'Yser;sens Entrant;;
Z07BE;408;376;4643;10,42%;-14,68%;4,81%;184;24,15%;36.6;-3.3;;Mérignac 20 avenue du Chut;Sens Entrant;;
Z07BS;457;390;4663;-8,26%;4,60%;5,48%;174;2,85%;35.3;-6.9;;Mérignac 20 avenue du Chut;Sens Sortant;;
Z08AS;616;688;8732;-15,33%;-10,16%;-9,52%;129;-8,61%;23.5;-1.1;;Cenon 10 av. J. Jaurès;Sens Sortant;;
Z10AE;446;513;5564;-6,50%;0,40%;-1,02%;67;-3,28%;41.3;-0.1;;Talence rue Vieille Tour Médoquine;Sens Entrant;;
Z10AS;557;508;4946;-8,77%;-5,11%;-3,32%;21;-16,48%;43.5;0.7;;Talence rue Vieille Tour Médoquine;Sens Sortant;;
Z10BS;675;625;6926;2,54%;-5,67%;-3,83%;157;-7,59%;38.6;-1.5;;Bordeaux rue Bethmann Bx II;Sens Sortant;;
Z16CS;987;643;8627;5,39%;1,00%;4,17%;273;-5,92%;40.3;-0.9;;Pessac av. de Canejan niveau rocade;Sens Sortant;;
Z16DS;960;799;10417;8,34%;-4,79%;1,30%;355;12,20%;38.9;-1.0;;Pessac 98 avenue de Saige;Sens Sortant;;
Z17CE;779;451;5238;-7,66%;1,61%;1,82%;122;5,48%;38.9;0.1;;Gradignan 14 rue Naudet;Sens Entrant;;
Z17EE;277;341;3212;-10,21%;-6,59%;-9,04%;48;-9,48%;38.0;0.1;;Talence 42 rue Lamartine;Sens Entrant;;
Z17ES;231;97;1182;-18,85%;-17,60%;-9,78%;6;4,27%;33.0;-0.5;;Talence 42 rue Lamartine;Sens Sortant;;
Z19AE;479;472;6754;-5,52%;0,35%;-0,95%;367;12,43%;38.1;1.4;;Villenave d'Ornon 335 rte Toulouse;Sens Entrant;;
Z19AS;553;576;7439;-1,69%;-7,33%;-5,81%;482;10,56%;38.4;-0.4;;Villenave d'Ornon 335 rte Toulouse;Sens Sortant;;
Z19BE;636;629;9558;-4,09%;-5,60%;-2,68%;697;-0,77%;13.3;-0.2;;Villenave d'Ornon 509 rte Toulouse;Sens Entrant;;
Z19CE;711;732;9911;-11,16%;-5,54%;-2,65%;517;-4,44%;45.0;0.2;;Villenave d'Ornon rue Pierre Proud'hon;Sens Entrant;;
Z19DS;555;543;5669;-4,50%;-15,48%;-9,70%;132;-14,75%;35.6;0.0;;Talence 177 chemin de Leysotte;Sens Sortant;;
Z20BS;524;742;6971;-3,65%;-5,10%;-1,90%;193;4,55%;32.6;0.1;;Bordeaux 193 rue Pasteur;Sens Sortant;;
Z21CE;468;393;5164;0,89%;12,84%;12,25%;96;30,43%;29.0;-1.7;;Le Bouscat 58 avenue de Tivoli;Sens Entrant;;
Z21DS;530;473;4933;36,35%;20,98%;26,53%;154;7,66%;32.9;-3.8;;Le Bouscat av. Victor Hugo;Sens Sortant;;
Z22BE;477;494;5975;12,08%;0,52%;1,22%;289;-2,68%;27.8;-0.7;;Lormont 36 avenue de Paris;Sens Entrant;;
Z22BS;372;550;5466;-10,40%;-3,70%;-2,60%;272;-9,31%;36.4;-0.3;;Lormont 36 avenue de Paris;Sens Sortant;;
Z22CE;1403;1081;16593;-1,28%;-2,29%;-1,52%;575;-1,28%;52.6;0.4;;Lormont av. Kennedy Amitié;Sens Entrant;;
Z22DE;705;788;8867;1,22%;-2,93%;0,43%;312;-8,67%;52.8;0.0;;Lormont av. de la Résistance;Sens Entrant;;
Z22DS;256;777;7509;19,48%;-0,31%;-0,52%;338;-7,91%;35.2;1.6;;Lormont av. de la Résistance;Sens Sortant;;
Z23AE;517;598;6772;-21,87%;2,68%;5,78%;167;162,04%;27.6;-8.4;;Eysines 126 av. du Taillan;Sens Entrant;;
Z23BE;468;493;6533;-4,76%;-5,17%;0,05%;464;8,48%;29.9;-4.7;;Bruges av. de Gaulle Fleuranceau Rocade;Sens Entrant;;
Z23DS;351;462;4628;10,04%;6,76%;14,01%;222;20,79%;48.3;-2.7;;Bruges rue de Fieuzal;Sens Sortant;;
Z25AE;601;658;8705;-12,86%;-11,17%;-1,43%;266;1,88%;37.5;-2.4;;Bruges allées de Boutaut;Sens Entrant;;
Z25BE;822;573;8463;-6,54%;-8,99%;0,08%;347;1,73%;28.4;-0.6;;BrugesBld Parc des Expositions;Sens Entrant;;
Z26BE;232;243;2845;-18,42%;-10,89%;-10,83%;91;-10,35%;31.9;1.5;;Begles : 98 rue Alexis Capelle;Sens Entrant;;
Z26CS;729;693;11065;-4,73%;1,81%;1,37%;575;0,76%;35.8;0.2;;Begles 60 Bld Jean-Jacques BOSC;Sud > Nord;;
Z27BE;447;616;6400;-17,55%;-2,16%;-3,84%;257;2,83%;42.3;-2.1;;Pessac av. Haut-Lévêque;Sens Entrant;;
Z29AE;671;355;4402;-7,21%;-7,31%;-0,73%;75;-4,99%;55.4;2.4;;Artigues bld de Feydeau;Sens Entrant;;
Z29AS;255;483;3597;1,66%;1,48%;0,10%;66;-2,87%;57.3;1.1;;Artigues bld de Feydeau;Sens Sortant;;
Z29BE;1717;1758;20038;-2,69%;14,39%;10,36%;605;3,42%;27.3;1.4;;Bordeaux Bld Joliot Curie après Benauge;Sens Entrant;;
Z29DS;444;856;9019;-2,09%;-0,92%;0,02%;317;6,32%;30.4;-0.2;;Cenon av. Jean Zay / bretelle rocade;Sens Sortant;;
Z30AE;395;901;10586;0,36%;-3,43%;-1,30%;140;-40,39%;48.8;-1.8;;Mérignac av. Kennedy Matosinhos Lartigue;Sens Entrant;;
Z30CS;453;449;5695;11,65%;-1,96%;0,78%;214;3,28%;32.0;-1.9;;Mérignac face au 153 avenue de la Somme;Sens Sortant;;
Z30DNS;419;514;6039;-3,53%;-6,57%;-1,71%;183;-5,58%;47.9;-1.9;;Mérignac 66 av. Pierre Mendès France;Sens Mérignac vers Pessac;;
Z30FNS;504;822;8098;-18,85%;-6,56%;-3,55%;563;-1,88%;60.6;-0.5;;Mérignac Roland GARROS;Nord > Sud;;
Z30FSN;1212;645;8884;1,35%;-16,46%;-7,39%;583;-4,38%;56.1;-1.3;;Mérignac Roland GARROS;Sud > Nord;;
Z32AE;548;495;6167;6,01%;2,91%;6,23%;345;18,08%;47.5;3.3;;Floirac 35 avenue Gaston Cabannes;Sens Entrant;;
Z1CT4;1048;1206;16416;1,19%;-1,23%;1,04%;;;;;;Bordeaux Quai Richelieu Aides/Cailhau;Nord > Sud;;
Z1CT5;1489;1088;17695;-0,28%;0,72%;-0,48%;;;;;;Bordeaux Quai Richelieu  Cailhau/Bourse;Sud > Nord;;
Z1CT13;1765;1315;21020;2,62%;2,18%;3,50%;;;;;;Bordeaux Quai Grave après Allamandier;Sud > Nord;;
Z2CT3;550;591;9466;-4,42%;-13,11%;-12,45%;;;;;;Bordeaux Crs V Hugo Bir Hakeim/Rousselle;Sens Entrant;;
Z2CT4;109;184;2409;-0,66%;-5,63%;-9,25%;;;;;;Bordeaux Alsace Lorraine avant Ausone;Sens Sortant;;
Z2CT5;313;403;5554;-4,40%;4,22%;-3,01%;;;;;;Bordeaux Juin après Belfort;Sens Entrant;;
Z2CT13;396;434;6380;-5,94%;7,16%;-3,78%;;;;;;Bordeaux Pl République vers Cursol;Sens Sortant;;
Z2CT14;158;172;2182;-2,98%;-5,17%;-4,25%;;;;;;Bordeaux Cours mal Joffre vers Burguet;Nord > Sud;;
Z2CT15;408;459;6378;-10,95%;3,97%;-6,16%;;;;;;Bordeaux Rue de Cursol après Joffre;Sens Sortant;;
Z2CT19;189;267;3551;-6,95%;-9,43%;-8,27%;;;;;;Bordeaux Rue J. Burguet après République;Nord>Sud;;
Z2CT21;299;389;4604;52,68%;66,34%;43,51%;;;;;;Bordeaux Descente => Allamandier;Bretelle N>S Descente => Allamandier;;
Z2CT22;163;142;2553;-26,73%;-22,18%;-26,12%;;;;;;Bordeaux Descente => porte Cailhau;Bretelle S>N Descente => porte Cailhau;;
Z2CT24;96;191;2659;-24,11%;-27,02%;-22,35%;;;;;;Bordeaux Alsace-Lorraine après Cheverus;Sens Sortant;;
Z3CT4;170;238;2315;4,37%;11,65%;6,30%;;;;;;Bordeaux Crs Libération Rodesse/Tondu;Libération vers Victoire;;
Z3CT6;338;312;3892;5,87%;4,57%;3,05%;;;;;;Bordeaux Crs Argonne avant Millière;Sens Entrant;;
Z3CT11;438;425;7077;4,50%;8,34%;8,38%;;;;;;Bordeaux Crs Marne après Capucins;Marne vers Victoire;;
Z3CT13;119;156;2019;-5,44%;2,55%;-2,82%;;;;;;Bordeaux 24 Rue Mouneyra;Sens Sortant;;
Z3CT17;67;74;1107;-10,91%;-11,85%;-12,51%;;;;;;Bordeaux 36 Cours de l' Argonne;Sens Entrant;;
Z3CT18;189;282;3960;-0,70%;-2,25%;-0,39%;;;;;;Bordeaux 113 Cours d'Albret;Nord > Sud;;
Z4CT2;502;427;8268;2,06%;-8,17%;0,02%;;;;;;Bordeaux Allées de Tourny;place de la Comédie => place Tourny;;
Z4CT3;790;791;12658;-0,05%;-1,09%;6,08%;;;;;;Bordeaux Crs Clémenceau après Monbadon;Nord > Sud;;
Z4CT6;309;282;4551;-14,06%;-17,10%;-11,91%;;;;;;Bordeaux Rue Bonnac après Lateulade;Sens Entrant;;
Z4CT10;303;286;4435;-1,58%;-6,83%;-2,74%;;;;;;Bordeaux Rue Michelet après St Sernin;Sens Entrant;;
Z4CT11;654;537;8218;-3,27%;-4,50%;1,58%;;;;;;Bordeaux Rue Capdeville place du Prado;Sens Entrant;;
Z4CT12;125;179;2653;-8,38%;-2,28%;-0,77%;;;;;;Bordeaux Rue Capdeville après Judaïque;Sens Sortant;;
Z4CT14;395;406;5968;3,04%;3,34%;7,62%;;;;;;Bordeaux Cours de Verdun avant Gourgues;Sud > Nord;;
Z4CT16;114;120;1475;;;;;;;;;Bordeaux Crs de Verdun avant Fondaudège;Nord > Sud;;
Z4CT19;375;369;5772;-4,41%;-3,30%;-0,86%;;;;;;Bordeaux Rue N.-Pénard après Michelet;Nord > Sud;;
Z4CT20;238;228;3285;-1,42%;-13,34%;-10,81%;;;;;;Bordeaux Allées de Bristol;Bristol > Hémicycle;;
Z5CT8;551;608;8078;3,94%;0,81%;-0,21%;;;;;;Bordeaux Rue Domercq après Pt du Guit;Sens Entrant;;
Z5CT10;881;1082;13685;2,98%;1,97%;3,76%;;;;;;Bordeaux Rue Saget après Tauzia;de Tauzia > Quais;;
Z5CT15;579;971;9034;7,78%;0,14%;3,53%;;;;;;Bordeaux Quai Deschamps;Nord > Sud;;
Z6CT3;1199;1340;19228;-0,79%;3,10%;-1,12%;;;;;;Bordeaux Blvd Antoine Gautier avant Arès;Boulevards Sud > Nord;;
Z6CT5;599;677;8711;-2,16%;6,28%;1,26%;;;;;;Bordeaux Rue Judaïque après Chevalier;Sens Sortant;;
Z6CT9;459;603;7530;-6,92%;-5,14%;-4,23%;;;;;;Mérignac Av. de Marne avant Mondésir;Sens Entrant;;
Z6CT10;951;912;12393;-2,73%;-3,00%;-2,29%;;;;;;Mérignac : Avenue d'Arès après Mondésir;Sens Entrant;;
